team,elo
Romania,1602.1892858305546
New Caledonia,1601.9944088943832
Panjab,1600.174165044419
Tamil Eelam,1599.3111339484715
Catalonia,1596.659164702846
Suriname,1595.6053586207433
Palestine,1591.560503088368
Albania,1586.9396251860508
Syria,1582.0626797609168
Angola,1581.7334232571138
Kurdistan,1577.8659187843618
Yorkshire,1576.3720289275989
Iceland,1575.639802064269
Zanzibar,1571.6445419514937
Artsakh,1571.0694444407588
Chameria,1570.0856458763571
Ellan Vannin,1569.3902371029878
Oman,1567.7238829777966
Andalusia,1565.5670615195759
Guinea,1565.305899117684
Rhodes,1564.6389517938771
Menorca,1563.6125546031403
North Macedonia,1562.3374305135462
Libya,1560.7824242038332
China,1558.9305953121248
Thailand,1558.4260101082255
Arameans Suryoye,1557.5059567487363
Quebec,1554.405183953776
Cascadia,1552.0066979663884
Belarus,1550.9996164937047
Madagascar,1544.622173966871
Corsica,1544.2893755668658
Gabon,1539.1724165086703
Gambia,1539.0863209948304
Guadeloupe,1538.8635911175886
Indonesia,1532.657643555365
Maule Sur,1530.1158521535626
Kernow,1530.0746630969159
Benin,1527.765365634733
Western Armenia,1525.6479993629855
Surrey,1525.13473575511
Malaysia,1524.540866977111
Trinidad and Tobago,1522.9407004591274
Crimea,1520.957660701459
Donetsk PR,1520.7565662937513
Canary Islands,1519.7964948205956
Elba Island,1519.0935679547456
United Koreans in Japan,1518.9470384966548
Parishes of Jersey,1518.5934637338912
Zambia,1518.2546975136845
Finland,1517.6260661923188
Tahiti,1516.758330103418
North Korea,1516.6307617506518
Biafra,1516.2750268487277
Uganda,1516.140870037603
Guyana,1514.7769806421302
Sealand,1514.7204196597747
Shetland,1514.6670822152394
Felvidék,1514.0286251053187
Qatar,1512.908920625615
Mapuche,1509.104460190283
Bahrain,1507.6350924856386
Nicaragua,1507.5584664846488
Vietnam,1507.2229142395695
Togo,1503.2507166590865
Brittany,1503.1349731322503
Niger,1501.5365087220396
Délvidék,1498.9652116514958
Silesia,1498.201529928678
Galicia,1495.0034978394742
Dominican Republic,1492.235798253899
Saugeais,1490.2545085001295
El Salvador,1487.3671953438704
Matabeleland,1487.2212564266906
Provence,1486.3291332123422
Comoros,1486.3084565763209
Cilento,1486.1189964650225
South Ossetia,1485.9225004620976
Luhansk PR,1484.3181670886556
Yoruba Nation,1482.6263040716963
Martinique,1481.9027651777212
Madrid,1481.584853621123
Republic of St. Pauli,1481.096021214051
Lebanon,1480.818486821147
Kuwait,1480.2339774079198
Sápmi,1479.9356744876332
Mayotte,1479.6905234056262
Seborga,1479.263884062339
Sudan,1479.191367168286
Orkney,1478.9496297491805
Mozambique,1478.3307734738644
Franconia,1478.162678239106
Kyrgyzstan,1477.5838255650206
Székely Land,1475.6260022115134
Somaliland,1470.6344953553694
Greenland,1470.1759573383802
Kenya,1467.0838870559407
Zimbabwe,1466.2801161756406
Sierra Leone,1465.0606131133723
Bulgaria,1462.9143822049264
French Guiana,1461.7395778975058
Aymara,1460.7796876561545
Hmong,1460.3122615691789
Romani people,1460.0976830372392
Ryūkyū,1459.7144151918442
Åland Islands,1458.7877604792611
West Papua,1458.0621844101793
Kabylia,1457.8252968065876
East Turkestan,1457.6135066086958
Chechnya,1456.7086624635783
Mauritania,1456.3671883883678
Gozo,1455.0837677358788
Papua New Guinea,1452.4639687879817
Tajikistan,1450.0107251787285
Găgăuzia,1446.3066536249303
Liberia,1442.7370486175364
Monaco,1440.9269419515779
Kazakhstan,1439.8801001888057
Vanuatu,1439.7331919535252
Montenegro,1437.6573449155915
Rwanda,1436.25648775824
Malawi,1433.7572674370617
Western Isles,1431.2577483764949
Equatorial Guinea,1430.3263872954215
Turkmenistan,1430.114892678973
Cuba,1429.39319663587
Hitra,1425.8434581593049
Gotland,1421.8102278240506
Lesotho,1420.446073595141
Namibia,1419.3613511216993
Marshall Islands,1414.1271008772283
Fiji,1413.774306200389
Ticino,1408.842863411128
Saint Barthélemy,1406.8989798582738
Saare County,1404.6103007250927
Two Sicilies,1402.4055355668193
Puerto Rico,1398.0066489219898
Ethiopia,1396.9573056926197
Saint Vincent and the Grenadines,1394.99000695813
Western Sahara,1391.1664519059736
Tanzania,1390.3372096934038
Botswana,1388.2052325022514
Burundi,1387.5457457715524
Luxembourg,1386.0034504309203
Faroe Islands,1384.0466941520763
Philippines,1383.5933876035065
Raetia,1376.0422364911176
Bermuda,1368.6857526001372
Vatican City,1366.8400384329104
Saint Martin,1361.2056098968096
Central African Republic,1359.9020726062786
Estonia,1357.9677616521953
Yemen,1357.2952735687627
Solomon Islands,1355.3735341707556
Sint Maarten,1353.5697446562601
Guinea-Bissau,1353.2821458615554
Kiribati,1350.5442640890606
Hong Kong,1349.4990190893946
Barawa,1341.440580216714
Armenia,1338.2923993703198
Ambazonia,1334.9570063334584
Chagos Islands,1333.5913388032197
Saint Helena,1331.7084750604322
Eswatini,1331.2614754528422
Belize,1317.0956998484455
Azerbaijan,1315.8323229370776
Congo,1314.4229574075557
Singapore,1313.6814069329316
Samoa,1309.8651998378825
Grenada,1309.22400088862
Saint Kitts and Nevis,1300.3369389778406
Malta,1299.8210339030322
Montserrat,1299.3025205481458
Cyprus,1293.2482631914522
Saint Pierre and Miquelon,1286.1718837716264
South Sudan,1282.0823340448562
India,1280.9349689559422
Aruba,1278.8522025279635
Tibet,1276.4344089687509
Lithuania,1268.6457532526113
Latvia,1258.01749975841
Tuvalu,1256.0606628346734
Falkland Islands,1253.0658880173553
Saint Lucia,1246.911984330192
Cook Islands,1244.994661134302
Mauritius,1239.7579991740633
Darfur,1235.2263440861095
Eritrea,1229.5335422324108
Chad,1228.9581982597572
Moldova,1228.3395085981556
Afghanistan,1227.7424341687877
Dominica,1225.7656925703266
Frøya,1223.9954368956376
São Tomé and Príncipe,1210.0307869733397
Bangladesh,1198.5469978602264
Alderney,1198.3421068743405
Pakistan,1197.1150831292077
Nepal,1197.058315203346
Myanmar,1193.720316219101
Tonga,1180.4148112275454
Barbados,1176.8527785599788
Bonaire,1176.8501942809808
Cambodia,1173.432886533822
Antigua and Barbuda,1163.5839665494532
Taiwan,1154.6598933553353
British Virgin Islands,1127.224883950885
Somalia,1127.2110334655672
Northern Mariana Islands,1110.729378640206
Djibouti,1107.3551908674203
Gibraltar,1103.7268151052258
Sri Lanka,1102.1534439491159
Cayman Islands,1088.2419585576379
Mongolia,1085.4447996962087
United States Virgin Islands,1083.3424811739742
Maldives,1081.1210042173986
Turks and Caicos Islands,1079.2433464008313
Guam,1075.221881719878
Andorra,1075.1362433793431
American Samoa,1073.5690581615597
Brunei,1032.806155676699
Seychelles,1028.7515693316602
Laos,1028.019142005528
Timor-Leste,1019.548253958135
Bahamas,1016.1511040058182
Anguilla,995.4221707721649
Bhutan,982.0401931149972
Macau,969.2261365089148
Liechtenstein,902.1909976149435
San Marino,836.184121514809
